information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_211~SEND~15min (15min.lt)~B-ID-61~IP-290~0~0~1~Sim0
InfoAct_id_212~SEND~15min (15min.lt)~B-ID-61~IP-307~0~0~1~Sim0
InfoAct_id_213~SEND~15min (15min.lt)~B-ID-61~IP-311~0~0~1~Sim0
InfoAct_id_214~SEND~15min (15min.lt)~B-ID-61~IP-315~0~0~1~Sim0
InfoAct_id_215~SEND~15min (15min.lt)~B-ID-61~IP-319~0~0~1~Sim0
InfoAct_id_216~SEND~15min (15min.lt)~B-ID-61~IP-323~0~0~1~Sim0
InfoAct_id_217~SEND~15min (15min.lt)~B-ID-61~IP-327~0~0~1~Sim0
InfoAct_id_218~SEND~15min (15min.lt)~B-ID-61~IP-331~0~0~1~Sim0
InfoAct_id_219~SEND~15min (15min.lt)~B-ID-61~IP-335~0~0~1~Sim0
InfoAct_id_220~SEND~15min (15min.lt)~B-ID-61~IP-339~0~0~1~Sim0
InfoAct_id_221~SEND~15min (15min.lt)~Arvydas Sabonis~IP-274~0~0~1~Sim0
InfoAct_id_222~SEND~15min (15min.lt)~Arvydas Sabonis~IP-278~0~0~1~Sim0
InfoAct_id_223~SEND~15min (15min.lt)~Arvydas Sabonis~IP-282~0~0~1~Sim0
InfoAct_id_224~SEND~15min (15min.lt)~Arvydas Sabonis~IP-286~0~0~1~Sim0
InfoAct_id_225~SEND~15min (15min.lt)~Arvydas Sabonis~IP-290~0~0~1~Sim0
InfoAct_id_226~SEND~15min (15min.lt)~Arvydas Sabonis~IP-307~0~0~1~Sim0
InfoAct_id_227~SEND~15min (15min.lt)~Arvydas Sabonis~IP-311~0~0~1~Sim0
InfoAct_id_228~SEND~15min (15min.lt)~Arvydas Sabonis~IP-315~0~0~1~Sim0
InfoAct_id_229~SEND~15min (15min.lt)~Arvydas Sabonis~IP-319~0~0~1~Sim0
InfoAct_id_230~SEND~15min (15min.lt)~Arvydas Sabonis~IP-323~0~0~1~Sim0
InfoAct_id_231~SEND~15min (15min.lt)~Arvydas Sabonis~IP-327~0~0~1~Sim0
InfoAct_id_232~SEND~15min (15min.lt)~Arvydas Sabonis~IP-331~0~0~1~Sim0
InfoAct_id_233~SEND~15min (15min.lt)~Arvydas Sabonis~IP-335~0~0~1~Sim0
InfoAct_id_234~SEND~15min (15min.lt)~Arvydas Sabonis~IP-339~0~0~1~Sim0
InfoAct_id_235~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-274~0~0~1~Sim0
InfoAct_id_236~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-278~0~0~1~Sim0
InfoAct_id_237~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-282~0~0~1~Sim0
InfoAct_id_238~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-286~0~0~1~Sim0
InfoAct_id_239~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-290~0~0~1~Sim0
InfoAct_id_240~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-307~0~0~1~Sim0
InfoAct_id_241~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-311~0~0~1~Sim0
InfoAct_id_242~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-315~0~0~1~Sim0
InfoAct_id_243~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-319~0~0~1~Sim0
InfoAct_id_244~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-323~0~0~1~Sim0
InfoAct_id_245~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-327~0~0~1~Sim0
InfoAct_id_246~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-331~0~0~1~Sim0
InfoAct_id_247~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-335~0~0~1~Sim0
InfoAct_id_248~SEND~15min (15min.lt)~Austeja Landsbergiene~IP-339~0~0~1~Sim0
InfoAct_id_249~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-274~0~0~1~Sim0
InfoAct_id_250~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-278~0~0~1~Sim0
InfoAct_id_251~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-282~0~0~1~Sim0
InfoAct_id_252~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-286~0~0~1~Sim0
InfoAct_id_253~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-290~0~0~1~Sim0
InfoAct_id_254~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-307~0~0~1~Sim0
InfoAct_id_255~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-311~0~0~1~Sim0
InfoAct_id_256~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-315~0~0~1~Sim0
InfoAct_id_257~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-319~0~0~1~Sim0
InfoAct_id_258~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-323~0~0~1~Sim0
InfoAct_id_259~SEND~15min (15min.lt)~Bishop K?stutis K?valas CATH~IP-327~0~0~1~Sim0
