information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_3186~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-455~0~0~2~Sim0
InfoAct_id_3187~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-459~0~0~2~Sim0
InfoAct_id_3188~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-476~0~0~2~Sim0
InfoAct_id_3189~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-480~0~0~2~Sim0
InfoAct_id_3190~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-484~0~0~2~Sim0
InfoAct_id_3191~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-488~0~0~2~Sim0
InfoAct_id_3192~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-492~0~0~2~Sim0
InfoAct_id_3193~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-496~0~0~2~Sim0
InfoAct_id_3194~SEND~Austeja Landsbergiene~Ingrida Simonyte~IP-500~0~0~2~Sim0
InfoAct_id_3195~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-274~0~0~2~Sim0
InfoAct_id_3196~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-278~0~0~2~Sim0
InfoAct_id_3197~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-282~0~0~2~Sim0
InfoAct_id_3198~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-286~0~0~2~Sim0
InfoAct_id_3199~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-290~0~0~2~Sim0
InfoAct_id_3200~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-307~0~0~2~Sim0
InfoAct_id_3201~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-311~0~0~2~Sim0
InfoAct_id_3202~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-315~0~0~2~Sim0
InfoAct_id_3203~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-319~0~0~2~Sim0
InfoAct_id_3204~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-323~0~0~2~Sim0
InfoAct_id_3205~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-327~0~0~2~Sim0
InfoAct_id_3206~SEND~Austeja Landsbergiene~Viktorija Smilyte-Nielsen~IP-331~0~0~2~Sim0
