relationship_action_id~source_agent_id~target_agent_id~action~change_in_trust~tick~simulation_id
Relation_Act_id_205~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_206~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_207~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_208~GEN Nikolai Yegorovich Makarov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_209~GEN Nikolai Yegorovich Makarov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_210~GEN Nikolai Yegorovich Makarov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_211~GEN Nikolai Yegorovich Makarov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_212~GEN Nikolai Yegorovich Makarov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_213~GEN Nikolai Yegorovich Makarov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_214~GEN Nikolai Yegorovich Makarov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_215~GEN Nikolai Yegorovich Makarov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_216~GEN Nikolai Yegorovich Makarov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_217~GEN Nikolai Yegorovich Makarov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_218~GEN Nikolai Yegorovich Makarov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_219~GEN Nikolai Yegorovich Makarov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_220~GEN Nikolai Yegorovich Makarov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_221~GEN Nikolai Yegorovich Makarov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_222~GEN Nikolai Yegorovich Makarov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_223~GEN Nikolai Yegorovich Makarov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_224~Ingrida Simonyte~Austeja Landsbergiene~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_225~Ingrida Simonyte~Austeja Landsbergiene~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_226~Ingrida Simonyte~Austeja Landsbergiene~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_227~Ingrida Simonyte~Austeja Landsbergiene~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_228~Ingrida Simonyte~Gitanas Nauseda~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_229~Ingrida Simonyte~Gitanas Nauseda~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_230~Ingrida Simonyte~Viktorija Smilyte-Nielsen~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_231~Ingrida Simonyte~Viktorija Smilyte-Nielsen~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_232~Sergey Kuzhugetovich Shoygu~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_233~Sergey Kuzhugetovich Shoygu~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_234~Sergey Kuzhugetovich Shoygu~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_235~Sergey Kuzhugetovich Shoygu~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_236~Sergey Kuzhugetovich Shoygu~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_237~Sergey Kuzhugetovich Shoygu~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_238~Sergey Kuzhugetovich Shoygu~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_239~Sergey Kuzhugetovich Shoygu~GEN Vladimir Sergeyevich Mikhaylov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_240~Sergey Kuzhugetovich Shoygu~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_241~Sergey Kuzhugetovich Shoygu~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_242~Sergey Kuzhugetovich Shoygu~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_243~Sergey Kuzhugetovich Shoygu~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_244~Sergey Kuzhugetovich Shoygu~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_245~Sergey Kuzhugetovich Shoygu~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
Relation_Act_id_246~Sergey Kuzhugetovich Shoygu~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~3~Sim0
